run_id,support_algorithm,support_epsilon,total_epsilon,support_error,mwem_error
0,fem,0.1,0.5,0.23229158975413894,0.1460419157097923
0,fem,0.1,1.0,0.23229158975413894,0.13804089055244356
0,dualquery,0.1,0.5,0.2832731051144507,0.26221284959665864
0,dualquery,0.1,1.0,0.2832731051144507,0.26221284959665864
0,fem,0.2,0.5,0.14580029354284696,0.09870344955888549
0,fem,0.2,1.0,0.14580029354284696,0.09181720748808046
0,dualquery,0.2,0.5,0.24282298022194015,0.224189604233682
0,dualquery,0.2,1.0,0.24282298022194015,0.21940508195203107
0,fem,0.30000000000000004,0.5,0.11548888864746998,0.10109437170939325
0,fem,0.30000000000000004,1.0,0.11548888864746998,0.08647551961427476
0,dualquery,0.30000000000000004,0.5,0.26622765056899617,0.23414520578359327
0,dualquery,0.30000000000000004,1.0,0.26622765056899617,0.22639950646882492
0,fem,0.4,0.5,0.10498696868177596,0.09383929351543852
0,fem,0.4,1.0,0.10498696868177596,0.08445999251762619
0,dualquery,0.4,0.5,0.2783997379304697,0.2355838289429485
0,dualquery,0.4,1.0,0.2783997379304697,0.22305644289714457
0,fem,0.5,0.5,0.09950119087172846,0.09950119087172869
0,fem,0.5,1.0,0.09950119087172846,0.08377480917110644
0,dualquery,0.5,0.5,0.2764524254064561,0.27645242540645604
0,dualquery,0.5,1.0,0.2764524254064561,0.22909310293705695
1,fem,0.1,0.5,0.20007481620794287,0.12890843119344755
1,fem,0.1,1.0,0.20007481620794287,0.12369762800771353
1,dualquery,0.1,0.5,0.2501535563654232,0.2501535563654232
1,dualquery,0.1,1.0,0.2501535563654232,0.2501535563654232
1,fem,0.2,0.5,0.1352917864742963,0.10416026292187806
1,fem,0.2,1.0,0.1352917864742963,0.09575940725637115
1,dualquery,0.2,0.5,0.28,0.2138110851361974
1,dualquery,0.2,1.0,0.28,0.21436670391485005
1,fem,0.30000000000000004,0.5,0.11004671177672168,0.09630330009921383
1,fem,0.30000000000000004,1.0,0.11004671177672168,0.09135866160434153
1,dualquery,0.30000000000000004,0.5,0.2727272727272727,0.22228525362708063
1,dualquery,0.30000000000000004,1.0,0.2727272727272727,0.22206217450327265
1,fem,0.4,0.5,0.10166318644681893,0.0933263456107034
1,fem,0.4,1.0,0.10166318644681893,0.08736240626012573
1,dualquery,0.4,0.5,0.2504309815322878,0.22750620202091143
1,dualquery,0.4,1.0,0.2504309815322878,0.21190250822160192
1,fem,0.5,0.5,0.10081764656793099,0.10081764656793121
1,fem,0.5,1.0,0.10081764656793099,0.08589619992749004
1,dualquery,0.5,0.5,0.2553191489361702,0.2553191489361702
1,dualquery,0.5,1.0,0.2553191489361702,0.21162792682442014
2,fem,0.1,0.5,0.23764592046280036,0.13019768765320874
2,fem,0.1,1.0,0.23764592046280036,0.1250748796960432
2,dualquery,0.1,0.5,0.29264004340526595,0.25826537305613945
2,dualquery,0.1,1.0,0.29264004340526595,0.25833720685926076
2,fem,0.2,0.5,0.1504639706728918,0.10583938735944026
2,fem,0.2,1.0,0.1504639706728918,0.09466360783452493
2,dualquery,0.2,0.5,0.2787715490766144,0.2425439307330273
2,dualquery,0.2,1.0,0.2787715490766144,0.24239092337367454
2,fem,0.30000000000000004,0.5,0.11173665912046815,0.10163727019560576
2,fem,0.30000000000000004,1.0,0.11173665912046815,0.08940711280666658
2,dualquery,0.30000000000000004,0.5,0.24875200553919688,0.231612174446248
2,dualquery,0.30000000000000004,1.0,0.24875200553919688,0.23047865693083294
2,fem,0.4,0.5,0.10610735581629274,0.10122523253592827
2,fem,0.4,1.0,0.10610735581629274,0.08658914488417616
2,dualquery,0.4,0.5,0.25102473281192417,0.235730365229885
2,dualquery,0.4,1.0,0.25102473281192417,0.2227433456993337
2,fem,0.5,0.5,0.10436195036539934,0.10436195036539951
2,fem,0.5,1.0,0.10436195036539934,0.08503536766771244
2,dualquery,0.5,0.5,0.25409069801278455,0.25409069801278455
2,dualquery,0.5,1.0,0.25409069801278455,0.2204605626772985
3,fem,0.1,0.5,0.20196457998747044,0.1195394396559854
3,fem,0.1,1.0,0.20196457998747044,0.11663028238665245
3,dualquery,0.1,0.5,0.2832731051144507,0.22904437611089257
3,dualquery,0.1,1.0,0.2832731051144507,0.22662703077804985
3,fem,0.2,0.5,0.1258893442991706,0.09882027378904087
3,fem,0.2,1.0,0.1258893442991706,0.0948838807441848
3,dualquery,0.2,0.5,0.2235346627902215,0.19578753259609197
3,dualquery,0.2,1.0,0.2235346627902215,0.19374303894909672
3,fem,0.30000000000000004,0.5,0.11095812765137175,0.09326374971024468
3,fem,0.30000000000000004,1.0,0.11095812765137175,0.08651652661300911
3,dualquery,0.30000000000000004,0.5,0.21212121212121213,0.19641178638165943
3,dualquery,0.30000000000000004,1.0,0.21212121212121213,0.1964138009531465
3,fem,0.4,0.5,0.10785694448469535,0.09428581944819026
3,fem,0.4,1.0,0.10785694448469535,0.08353332450557052
3,dualquery,0.4,0.5,0.225,0.20431709260822523
3,dualquery,0.4,1.0,0.225,0.19146831037246081
3,fem,0.5,0.5,0.10287925053090333,0.10287925053090372
3,fem,0.5,1.0,0.10287925053090333,0.08246275031555088
3,dualquery,0.5,0.5,0.23164707389088743,0.23164707389088743
3,dualquery,0.5,1.0,0.23164707389088743,0.1961424112872994
4,fem,0.1,0.5,0.23323647164390274,0.13816299457518458
4,fem,0.1,1.0,0.23323647164390274,0.13113790327487476
4,dualquery,0.1,0.5,0.2501535563654232,0.2501535563654232
4,dualquery,0.1,1.0,0.2501535563654232,0.2501535563654232
4,fem,0.2,0.5,0.1450828047536093,0.10022706398061229
4,fem,0.2,1.0,0.1450828047536093,0.09085124920539793
4,dualquery,0.2,0.5,0.24282298022194015,0.22875814583708778
4,dualquery,0.2,1.0,0.24282298022194015,0.22440900622642415
4,fem,0.30000000000000004,0.5,0.11865104946200257,0.09806528675801446
4,fem,0.30000000000000004,1.0,0.11865104946200257,0.08716416257887875
4,dualquery,0.30000000000000004,0.5,0.24406341784827512,0.22090141160613644
4,dualquery,0.30000000000000004,1.0,0.24406341784827512,0.2143041906413143
4,fem,0.4,0.5,0.11377842992708258,0.10283751785062699
4,fem,0.4,1.0,0.11377842992708258,0.08868571409217463
4,dualquery,0.4,0.5,0.265213340977028,0.23371066889504125
4,dualquery,0.4,1.0,0.265213340977028,0.2201874742999089
4,fem,0.5,0.5,0.10426068454261453,0.10426068454261471
4,fem,0.5,1.0,0.10426068454261453,0.08650470302240598
4,dualquery,0.5,0.5,0.2765343221346818,0.27653432213468176
4,dualquery,0.5,1.0,0.2765343221346818,0.22675200355677375
